name,description,image_url,phone,aggregate_rating,reviews_count,cuisine
"Aura - Courtyard By Marriott SBR, Bodakdev, Ahmedabad | Zomato ","Aura - Courtyard By Marriott SBR Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for Aura - Courtyard By Marriott SBR Restaurant.",/ahmedabad/aura-courtyard-by-marriott-sbr-bodakdev,"+917486004034, +917967000000",4.2,397.0,"Chinese, North Indian, Italian, Asian, Biryani, Beverages, Continental, Thai"
"Three Quarter Indian, Satellite, Ahmedabad | Zomato ","Three Quarter Indian Ahmedabad, Satellite; View reviews, menu, contact, location, and more for Three Quarter Indian Restaurant.",/ahmedabad/three-quarter-indian-satellite,+919099484950,4.2,3737.0,"North Indian, Continental, Italian, Chinese, Beverages, Desserts"
"The House Of Makeba, Bodakdev, Ahmedabad | Zomato ","The House Of Makeba Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for The House Of Makeba Restaurant.",/ahmedabad/the-house-of-makeba-bodakdev,+918734861188,4.2,1976.0,"North Indian, Mexican, Italian, Shake, Beverages"
"1980 - A Royal Culinary Experience, Bodakdev, Ahmedabad | Zomato ","1980 - A Royal Culinary Experience Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for 1980 - A Royal Culinary Experience Restaurant.",/ahmedabad/1980-a-royal-culinary-experience-bodakdev,+919601863568,4.0,240.0,"North Indian, Biryani, Healthy Food, Chinese, Salad, Street Food, Desserts, Beverages"
"Table Tales, Bodakdev, Ahmedabad | Zomato ","Table Tales Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for Table Tales Restaurant.",/ahmedabad/table-tales-bodakdev,+919925225218,4.4,632.0,"North Indian, Italian, Wraps, Fast Food, Lebanese, Sandwich, Desserts, Beverages"
"Chili's Grill & Bar, Vastrapur, Ahmedabad | Zomato ","Chili's Grill & Bar Ahmedabad, Vastrapur; View reviews, menu, contact, location, and more for Chili's Grill & Bar Restaurant.",/ahmedabad/chilis-grill-bar-vastrapur,+919667980058,4.4,321.0,"Pizza, Burger"
"Welcomcafe Ikkat, Ashram Road, Ahmedabad | Zomato ","Welcomcafe Ikkat Ahmedabad, Ashram Road; View reviews, menu, contact, location, and more for Welcomcafe Ikkat Restaurant.",/ahmedabad/welcomcafe-ikkat-ashram-road,"+917940268000, +918013759673, +919033340595",3.2,251.0,"North Indian, Continental, Asian, Goan, Desserts, Beverages"
"Lithosphere By Upper Crust, Bodakdev, Ahmedabad | Zomato ","Lithosphere By Upper Crust Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for Lithosphere By Upper Crust Restaurant.",/ahmedabad/lithosphere-by-upper-crust-bodakdev,+917069188818,4.5,964.0,"Modern Indian, Asian, Continental, Italian, Pizza, North Indian, Biryani, Beverages"
"Nomad Pizza, C G Road, Ahmedabad | Zomato ","Nomad Pizza Ahmedabad, C G Road; View reviews, menu, contact, location, and more for Nomad Pizza Restaurant.",/ahmedabad/nomad-pizza-c-g-road,+918527743572,3.9,293.0,"Pizza, Italian, Burger, Cafe, Pasta, Mexican, Beverages"
"Silver Leaf, Thaltej, Ahmedabad | Zomato ","Silver Leaf Ahmedabad, Thaltej; View reviews, menu, contact, location, and more for Silver Leaf Restaurant.",/ahmedabad/silver-leaf-thaltej,"+917490001302, +918511107253",3.9,520.0,"North Indian, Mughlai, Chinese, Parsi, Sandwich, Wraps, Desserts, Beverages"
"Unlocked, Navrangpura, Ahmedabad | Zomato ","Unlocked Ahmedabad, Navrangpura; View reviews, menu, contact, location, and more for Unlocked Restaurant.",/ahmedabad/unlocked-navrangpura,"+919998131830, +917948900165",4.1,1813.0,"Cafe, Fast Food, North Indian, Chinese, Desserts, Beverages, Italian"
"Tres Amigos, Thaltej, Ahmedabad | Zomato ","Tres Amigos Ahmedabad, Thaltej; View reviews, menu, contact, location, and more for Tres Amigos Restaurant.",/ahmedabad/tres-amigos-thaltej,+918799390641,4.4,488.0,"Mexican, Continental, Fast Food"
"Amritsar Haveli, Bodakdev, Ahmedabad | Zomato ","Amritsar Haveli Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for Amritsar Haveli Restaurant.",/ahmedabad/amritsar-haveli-1-bodakdev,+919974882250,4.0,946.0,"North Indian, Chinese, Street Food, Biryani, Desserts, Beverages"
"Banjara- The Culinary Symphony, Bodakdev, Ahmedabad | Zomato ","Banjara- The Culinary Symphony Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for Banjara- The Culinary Symphony Restaurant.",/ahmedabad/banjara-the-culinary-symphony-1-bodakdev,+918373957784,4.3,568.0,"North Indian, Continental, Oriental, Chinese, Beverages, Desserts, Italian"
"Bellasen Bistro, Bodakdev, Ahmedabad | Zomato ","Bellasen Bistro Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for Bellasen Bistro Restaurant.",/ahmedabad/bellasen-bistro-bodakdev,+916352247868,4.2,1151.0,"North Indian, Chinese, Continental, Salad, Asian, Kebab, Fast Food, Bakery"
"Masala County, Shree Balaji Agora Mall, Chandkheda, Ahmedabad | Zomato ","Masala County Ahmedabad, Shree Balaji Agora Mall, Chandkheda; View reviews, menu, contact, location, and more for Masala County Restaurant.",/ahmedabad/masala-county-chandkheda,"+919227888238, +917046035082",4.2,1274.0,"North Indian, Chinese, Mughlai, Biryani, Ice Cream, Desserts, Beverages"
"TG’s - The Oriental Grill - Hyatt, Vastrapur, Ahmedabad | Zomato ","TG’s - The Oriental Grill - Hyatt Ahmedabad, Vastrapur; View reviews, menu, contact, location, and more for TG’s - The Oriental Grill - Hyatt Restaurant.",/ahmedabad/tg-s-the-oriental-grill-hyatt-vastrapur,+917575002489,4.6,858.0,"Oriental, Asian, Beverages"
"Angithi A Pure Veg Restaurant By Mirch Masala, Bodakdev, Ahmedabad | Zomato ","Angithi A Pure Veg Restaurant By Mirch Masala Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for Angithi A Pure Veg Restaurant By Mirch Masala Restaurant.",/ahmedabad/angithi-a-pure-veg-restaurant-by-mirch-masala-bodakdev,"+917926857801, +917573004024",4.5,1360.0,"North Indian, Street Food"
"Sam's Pizza, Navrangpura, Ahmedabad | Zomato ","Sam's Pizza Ahmedabad, Navrangpura; View reviews, menu, contact, location, and more for Sam's Pizza Restaurant.",/ahmedabad/sams-pizza-navrangpura,"+917926444666, +919825084604",4.0,873.0,"Pizza, Fast Food"
"The Messy Door Cafe, Navrangpura, Ahmedabad | Zomato ","The Messy Door Cafe Ahmedabad, Navrangpura; View reviews, menu, contact, location, and more for The Messy Door Cafe Restaurant.",/ahmedabad/the-messy-door-cafe-navrangpura,+919782320643,4.5,422.0,"Cafe, Coffee, Sandwich, Pizza, Pasta, Fast Food, Shake, Beverages"
"The Secret Kitchen, Bodakdev, Ahmedabad | Zomato ","The Secret Kitchen Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for The Secret Kitchen Restaurant.",/ahmedabad/the-secret-kitchen-bodakdev,+919825797797,4.0,1058.0,"North Indian, Sushi, Hot Pot, Beverages, Pasta, Pizza"
"Rustic Spices, Satellite, Ahmedabad | Zomato ","Rustic Spices Ahmedabad, Satellite; View reviews, menu, contact, location, and more for Rustic Spices Restaurant.",/ahmedabad/rustic-spices-satellite,+918866554777,4.2,236.0,"North Indian, South Indian, Chinese, Continental, Mexican, Pizza, Pasta, Fast Food"
"Food Stories By The Westend, Thaltej, Ahmedabad | Zomato ","Food Stories By The Westend Ahmedabad, Thaltej; View reviews, menu, contact, location, and more for Food Stories By The Westend Restaurant.",/ahmedabad/food-stories-by-the-westend-thaltej,"+919998435555, +919998164646, +919998883377",4.2,344.0,"North Indian, Tex-Mex, Italian, Beverages, Modern Indian, Desserts, Pasta, Mexican"
"The Barnyard Co, Chandkheda, Ahmedabad | Zomato ","The Barnyard Co Ahmedabad, Chandkheda; View reviews, menu, contact, location, and more for The Barnyard Co Restaurant.",/ahmedabad/the-barnyard-co-chandkheda,+918780591708,3.3,164.0,"North Indian, Italian"
"Kake Di Hatti, Bodakdev, Ahmedabad | Zomato ","Kake Di Hatti Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for Kake Di Hatti Restaurant.",/ahmedabad/kake-di-hatti-bodakdev,+917600999688,3.9,404.0,"Chinese, Salad, North Indian, Italian, Street Food, Pasta, Desserts, Shake"
"Ishaara, Thaltej, Ahmedabad | Zomato ","Ishaara Ahmedabad, Thaltej; View reviews, menu, contact, location, and more for Ishaara Restaurant.",/ahmedabad/ishaara-thaltej,+919152880895,4.6,1222.0,"North Indian, Mughlai, Kebab, Biryani, Rolls, Pizza, Desserts"
"EL'Olivo SBR, Thaltej, Ahmedabad | Zomato ","EL'Olivo SBR Ahmedabad, Thaltej; View reviews, menu, contact, location, and more for EL'Olivo SBR Restaurant.",/ahmedabad/elolivo-sbr-thaltej,+917862829002,3.9,62.0,"Italian, Asian"
"Tim Tim, Bodakdev, Ahmedabad | Zomato ","Tim Tim Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for Tim Tim Restaurant.",/ahmedabad/tim-tim-1-bodakdev,+919879797641,4.3,559.0,"Asian, Sushi, Beverages, North Indian"
"Scoby's, C G Road, Ahmedabad | Zomato ","Scoby's Ahmedabad, C G Road; View reviews, menu, contact, location, and more for Scoby's Restaurant.",/ahmedabad/scobys-c-g-road,+919624017090,3.9,231.0,"North Indian, Continental"
"Pepito, Thaltej, Ahmedabad | Zomato ","Pepito Ahmedabad, Thaltej; View reviews, menu, contact, location, and more for Pepito Restaurant.",/ahmedabad/pepito-thaltej,+918858857878,2.9,88.0,"Asian, European, Modern Indian, Italian, Mexican, Coffee"
"Cafe Patio - Hotel Binori, Thaltej, Ahmedabad | Zomato ","Cafe Patio - Hotel Binori Ahmedabad, Thaltej; View reviews, menu, contact, location, and more for Cafe Patio - Hotel Binori Restaurant.",/ahmedabad/cafe-patio-hotel-binori-thaltej,"+917968141414, +917227042414",3.9,300.0,"North Indian, Fast Food, Chinese, Beverages, Desserts"
"Sankalp Signature, Bodakdev, Ahmedabad | Zomato ","Sankalp Signature Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for Sankalp Signature Restaurant.",/ahmedabad/sankalp-signature-bodakdev,Not available for this place,4.0,122.0,"South Indian, Andhra, Kerala, Desserts, Beverages"
"Harmony Resto Cafe, Navrangpura, Ahmedabad | Zomato ","Harmony Resto Cafe Ahmedabad, Navrangpura; View reviews, menu, contact, location, and more for Harmony Resto Cafe Restaurant.",/ahmedabad/harmony-resto-cafe-navrangpura,"+918200911138, +918780815839",4.1,325.0,"North Indian, Kathiyawadi, Burger, Chinese, Panini, Sandwich, Gujarati, Coffee"
"The Fountain, Chandkheda, Ahmedabad | Zomato ","The Fountain Ahmedabad, Chandkheda; View reviews, menu, contact, location, and more for The Fountain Restaurant.",/ahmedabad/the-fountain-chandkheda,+917861895107,3.8,26.0,"Continental, North Indian"
"Oaxaca, Navrangpura, Ahmedabad | Zomato ","Oaxaca Ahmedabad, Navrangpura; View reviews, menu, contact, location, and more for Oaxaca Restaurant.",/ahmedabad/oaxaca-navrangpura,+916359119991,3.5,82.0,"Mexican, Fast Food, Desserts, Beverages"
"VarieTea, Bodakdev, Ahmedabad | Zomato ","VarieTea Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for VarieTea Restaurant.",/ahmedabad/varietea-bodakdev,+919512184440,4.1,832.0,"Cafe, Coffee, Tea, Shake, Beverages, Italian, Sandwich, Fast Food"
"Pizza Don, Navrangpura, Ahmedabad | Zomato ","Pizza Don Ahmedabad, Navrangpura; View reviews, menu, contact, location, and more for Pizza Don Restaurant.",/ahmedabad/pizza-don-navrangpura,+918780983326,4.1,182.0,"Pizza, Coffee, Tea, Italian"
"Citrus Junction- The Leela, Sector 16, Gandhinagar | Zomato ","Citrus Junction- The Leela Gandhinagar, Sector 16; View reviews, menu, contact, location, and more for Citrus Junction- The Leela Restaurant.",/ahmedabad/citrus-junction-the-leela-sector-16-gandhinagar,+917486001193,4.5,254.0,"Asian, Continental, North Indian"
"Kith & Kin - Coffee and More, Thaltej, Ahmedabad | Zomato ","Kith & Kin - Coffee and More Ahmedabad, Thaltej; View reviews, menu, contact, location, and more for Kith & Kin - Coffee and More Restaurant.",/ahmedabad/kith-kin-coffee-and-more-thaltej,+918905853233,4.3,66.0,"Cafe, Italian, Mexican, Coffee, Desserts, Bakery, Beverages"
"Sazzy Sizzlers, Naranpura, Ahmedabad | Zomato ","Sazzy Sizzlers Ahmedabad, Naranpura; View reviews, menu, contact, location, and more for Sazzy Sizzlers Restaurant.",/ahmedabad/sazzy-sizzlers-naranpura,+919558410844,4.6,951.0,"Chinese, Continental, Italian, Sandwich, Pizza, Asian, Salad, Desserts"
"Fashiontv Cafe, Thaltej, Ahmedabad | Zomato ","Fashiontv Cafe Ahmedabad, Thaltej; View reviews, menu, contact, location, and more for Fashiontv Cafe Restaurant.",/ahmedabad/fashiontv-cafe-thaltej,+918655900281,4.2,80.0,"North Indian, Italian, Mexican, Chinese, Beverages, Desserts"
"K's Charcoal, Bodakdev, Ahmedabad | Zomato ","K's Charcoal Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for K's Charcoal Restaurant.",/ahmedabad/ks-charcoal-bodakdev,+918849778846,3.2,108.0,"Pizza, Pasta, Italian, Fast Food, Salad, Desserts, Beverages"
"Chur Chur Naan - Punjab Junction, Gulbai Tekra, Ahmedabad | Zomato ","Chur Chur Naan - Punjab Junction Ahmedabad, Gulbai Tekra; View reviews, menu, contact, location, and more for Chur Chur Naan - Punjab Junction Restaurant.",/ahmedabad/chur-chur-naan-punjab-junction-gulbai-tekra,+919727397036,2.8,7.0,"North Indian, Chinese, Fast Food, Desserts"
"Cucina Restaurant, Infocity, Gandhinagar | Zomato ","Cucina Restaurant Gandhinagar, Infocity; View reviews, menu, contact, location, and more for Cucina Restaurant Restaurant.",/ahmedabad/cucina-restaurant-infocity-gandhinagar,+919909844777,4.5,195.0,"Chinese, Continental, North Indian, Biryani, Pasta, Pizza"
"Massala Theoryy, Bodakdev, Ahmedabad | Zomato ","Massala Theoryy Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for Massala Theoryy Restaurant.",/ahmedabad/massala-theoryy-bodakdev,"+919586615452, +917935605217, +919925815452",4.2,500.0,"North Indian, Mughlai, Chinese, Mexican, Biryani, Italian, Beverages"
"Patang - The Revolving Restaurant, Ashram Road, Ahmedabad | Zomato ","Patang - The Revolving Restaurant Ahmedabad, Ashram Road; View reviews, menu, contact, location, and more for Patang - The Revolving Restaurant Restaurant.",/ahmedabad/patang-the-revolving-restaurant-ashram-road,"+918980009222, +918980003444, +917574010010",3.8,2057.0,"North Indian, Chinese, Continental"
"Pizzaiiolo - The Wood Fired Pizza, Thaltej, Ahmedabad | Zomato ","Pizzaiiolo - The Wood Fired Pizza Ahmedabad, Thaltej; View reviews, menu, contact, location, and more for Pizzaiiolo - The Wood Fired Pizza Restaurant.",/ahmedabad/pizzaiiolo-the-wood-fired-pizza-thaltej,+919099899810,4.4,486.0,"Pizza, Pasta, Italian, Sandwich, Fast Food, Shake, Beverages"
"Ree Story, Thaltej, Ahmedabad | Zomato ","Ree Story Ahmedabad, Thaltej; View reviews, menu, contact, location, and more for Ree Story Restaurant.",/ahmedabad/ree-story-thaltej,+919624443322,4.0,59.0,"Chinese, North Indian, Desserts"
"Volga Restaurant, Bhadra, Ahmedabad | Zomato ","Volga Restaurant Ahmedabad, Bhadra; View reviews, menu, contact, location, and more for Volga Restaurant Restaurant.",/ahmedabad/volga-restaurant-bhadra,"+919574111822, +917927510280",3.3,13.0,"North Indian, South Indian"
"The Vibe-X Restro & Cafe, Chandkheda, Ahmedabad | Zomato ","The Vibe-X Restro & Cafe Ahmedabad, Chandkheda; View reviews, menu, contact, location, and more for The Vibe-X Restro & Cafe Restaurant.",/ahmedabad/the-vibe-x-restro-cafe-chandkheda,+917069905246,4.1,336.0,"North Indian, Oriental, Sushi, Thai, Coffee, Pizza, Pasta"
"Zoca Cafe, Bodakdev, Ahmedabad | Zomato ","Zoca Cafe Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for Zoca Cafe Restaurant.",/ahmedabad/zoca-cafe-bodakdev,+919157307606,4.0,185.0,"Cafe, Coffee, North Indian, Continental, Chinese, Pizza, Fast Food, Beverages"
"Cilantro's Global Cuisine Restaurant, Airport Gandhinagar Highway, Gandhinagar | Zomato ","Cilantro's Global Cuisine Restaurant Gandhinagar, Airport Gandhinagar Highway; View reviews, menu, contact, location, and more for Cilantro's Global Cuisine Restaurant Restaurant.",/ahmedabad/cilantros-global-cuisine-restaurant-airport-gandhinagar-highway-gandhinagar,+919104083535,4.5,255.0,"North Indian, Asian, Chinese, Pizza, Italian, Continental, Desserts, Beverages"
"M.A.D By Tomato's, Bodakdev, Ahmedabad | Zomato ","M.A.D By Tomato's Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for M.A.D By Tomato's Restaurant.",/ahmedabad/m-a-d-by-tomatos-bodakdev,+919712906726,4.3,1549.0,"North Indian, Chinese, Mexican, Asian, Italian, Oriental, Continental"
"Mahamahal, Thaltej, Ahmedabad | Zomato ","Mahamahal Ahmedabad, Thaltej; View reviews, menu, contact, location, and more for Mahamahal Restaurant.",/ahmedabad/mahamahal-thaltej,+916359595983,4.1,230.0,"North Indian, Gujarati, Italian, Thai, Chinese, South Indian, Mexican, Desserts"
"Chelvies Coffee, Bodakdev, Ahmedabad | Zomato ","Chelvies Coffee Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for Chelvies Coffee Restaurant.",/ahmedabad/chelvies-coffee-bodakdev,+919998656675,4.4,206.0,"Cafe, Coffee, Bakery, Sandwich, Pizza, Fast Food, Desserts, Beverages"
"MayKA, Bodakdev, Ahmedabad | Zomato ","MayKA Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for MayKA Restaurant.",/ahmedabad/mayka-bodakdev,+919510192234,3.9,153.0,"North Indian, Modern Indian, Desserts, Chinese"
"Kuro - Renaissance Hotel, Sola, Ahmedabad | Zomato ","Kuro - Renaissance Hotel Ahmedabad, Sola; View reviews, menu, contact, location, and more for Kuro - Renaissance Hotel Restaurant.",/ahmedabad/kuro-renaissance-hotel-sola,+917574847727,4.4,415.0,"Japanese, Asian, Chinese, Sushi"
"The Shaka Cafe, Prahlad Nagar, Ahmedabad | Zomato ","The Shaka Cafe Ahmedabad, Prahlad Nagar; View reviews, menu, contact, location, and more for The Shaka Cafe Restaurant.",/ahmedabad/the-shaka-cafe-prahlad-nagar,"+918866572104, +917046841647",4.2,1235.0,"Asian, Sushi, North Indian, Chinese, Cafe, Desserts, Beverages, Pizza"
"Dakshin Bhojnam, Sola, Ahmedabad | Zomato ","Dakshin Bhojnam Ahmedabad, Sola; View reviews, menu, contact, location, and more for Dakshin Bhojnam Restaurant.",/ahmedabad/dakshin-bhojnam-1-sola,+918780889038,4.2,84.0,"South Indian, Biryani, Beverages"
"Govinda's, Satellite, Ahmedabad | Zomato ","Govinda's Ahmedabad, Satellite; View reviews, menu, contact, location, and more for Govinda's Restaurant.",/ahmedabad/govindas-1-satellite,"+919081754481, +919081764488",3.9,713.0,"North Indian, Chinese, Salad, Oriental, Pizza"
"Cafe Street Circus By TQI, Thaltej, Ahmedabad | Zomato ","Cafe Street Circus By TQI Ahmedabad, Thaltej; View reviews, menu, contact, location, and more for Cafe Street Circus By TQI Restaurant.",/ahmedabad/cafe-street-circus-by-tqi-thaltej,+918735838044,4.0,47.0,"North Indian, Pizza, Chinese"
"Tim Tim Brew House, Bodakdev, Ahmedabad | Zomato ","Tim Tim Brew House Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for Tim Tim Brew House Restaurant.",/ahmedabad/tim-tim-brew-house-bodakdev,+919879797641,4.8,724.0,"Chinese, Italian, Japanese, Spanish, Asian, Desserts"
"Koffee Stories, Ambavadi, Ahmedabad | Zomato ","Koffee Stories Ahmedabad, Ambavadi; View reviews, menu, contact, location, and more for Koffee Stories Restaurant.",/ahmedabad/koffee-stories-ambavadi,+919023839066,3.8,28.0,"Cafe, Coffee, Pizza, Pasta, Fast Food, Tea, Shake, Beverages"
"Rustic Rays, Airport Gandhinagar Highway, Gandhinagar | Zomato ","Rustic Rays Gandhinagar, Airport Gandhinagar Highway; View reviews, menu, contact, location, and more for Rustic Rays Restaurant.",/ahmedabad/rustic-rays-airport-gandhinagar-highway-gandhinagar,+918866992270,4.0,99.0,"North Indian, Asian, Coffee, Beverages"
"Cha, Thaltej, Ahmedabad | Zomato ","Cha Ahmedabad, Thaltej; View reviews, menu, contact, location, and more for Cha Restaurant.",/ahmedabad/cha-1-thaltej,"+919152622482, +919998841493",4.2,628.0,"Asian, Chinese"
"Kaffa Coffee Roasters, Vastrapur, Ahmedabad | Zomato ","Kaffa Coffee Roasters Ahmedabad, Vastrapur; View reviews, menu, contact, location, and more for Kaffa Coffee Roasters Restaurant.",/ahmedabad/kaffa-coffee-roasters-vastrapur,+919824002487,4.3,473.0,"Continental, Fast Food, Pizza, Coffee, Desserts"
"Jajarmaan, Thaltej, Ahmedabad | Zomato ","Jajarmaan Ahmedabad, Thaltej; View reviews, menu, contact, location, and more for Jajarmaan Restaurant.",/ahmedabad/jajarmaan-thaltej,+919909511935,4.0,252.0,"North Indian, Chinese, Mexican, Gujarati, Italian, Biryani, Desserts, Beverages"
"From The North, C G Road, Ahmedabad | Zomato ","From The North Ahmedabad, C G Road; View reviews, menu, contact, location, and more for From The North Restaurant.",/ahmedabad/from-the-north-c-g-road,"+919904442279, +917948973636, +919898582155",4.4,1020.0,"Asian, North Indian, Desserts, Beverages"
"Wow Dosa Fusion Of South Indian Food, Gurukul, Ahmedabad | Zomato ","Wow Dosa Fusion Of South Indian Food Ahmedabad, Gurukul; View reviews, menu, contact, location, and more for Wow Dosa Fusion Of South Indian Food Restaurant.",/ahmedabad/wow-dosa-fusion-of-south-indian-food-gurukul,+919879879660,4.0,108.0,"South Indian, Desserts, Beverages, Coffee"
"Burma Burma, Thaltej, Ahmedabad | Zomato ","Burma Burma Ahmedabad, Thaltej; View reviews, menu, contact, location, and more for Burma Burma Restaurant.",/ahmedabad/burma-burma-thaltej,+919920240800,4.9,205.0,"Burmese, Asian, Salad, Bubble Tea, Ice Cream, Desserts"
"Pomodoro, Bodakdev, Ahmedabad | Zomato ","Pomodoro Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for Pomodoro Restaurant.",/ahmedabad/pomodoro-bodakdev,+919660688883,4.0,23.0,"Pizza, Pasta, Italian"
"Pol 21 - Hotel Binori, Thaltej, Ahmedabad | Zomato ","Pol 21 - Hotel Binori Ahmedabad, Thaltej; View reviews, menu, contact, location, and more for Pol 21 - Hotel Binori Restaurant.",/ahmedabad/pol-21-hotel-binori-thaltej,"+917227042420, +917227042399",4.0,296.0,"North Indian, Chinese, South Indian, Salad, Biryani, Desserts, Beverages"
"VarieTEA Chai Masti & More, Sola, Ahmedabad | Zomato ","VarieTEA Chai Masti & More Ahmedabad, Sola; View reviews, menu, contact, location, and more for VarieTEA Chai Masti & More Restaurant.",/ahmedabad/varietea-chai-masti-more-sola,+919979366635,4.4,54.0,"Cafe, Italian, Mexican, Chinese, Fast Food, Pasta, Tea, Beverages"
"Pep House, Bodakdev, Ahmedabad | Zomato ","Pep House Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for Pep House Restaurant.",/ahmedabad/pep-house-bodakdev,+916354802340,4.2,215.0,"Modern Indian, North Indian, Italian, Oriental, Desserts, Beverages"
"Cocoa Drama, Bodakdev, Ahmedabad | Zomato ","Cocoa Drama Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for Cocoa Drama Restaurant.",/ahmedabad/cocoa-drama-bodakdev,+919925902429,4.1,28.0,"Desserts, Bakery, Beverages, Coffee"
"@Mango, Bodakdev, Ahmedabad | Zomato ","@Mango Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for @Mango Restaurant.",/ahmedabad/@mango-bodakdev,"+919925238230, +919925238231, +918460004037",4.1,2347.0,"Continental, Italian, Chinese, North Indian, Pizza, Desserts, Beverages"
"Jalpaan Restaurant, Thaltej, Ahmedabad | Zomato ","Jalpaan Restaurant Ahmedabad, Thaltej; View reviews, menu, contact, location, and more for Jalpaan Restaurant Restaurant.",/ahmedabad/jalpaan-restaurant-thaltej,"+917948902600, +919328301377",3.8,520.0,"Street Food, Mexican, Italian, North Indian, Pizza, Chinese, Oriental, Desserts"
